گروه,پوشه,symbol,معاملات,سودده,زیانده,وین‌ریت(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,بازده واقعی(%),بازده ویژه(%),نوع
aggregated,Best_1h_PAXGUSDT_XRPUSDT,PAXGUSDT_XRPUSDT,151,93,58,61.59,-8.00,4,-9.59,1.804,0.358,77.7190,77.7190,اصلی
aggregated,Best_1h_PAXGUSDT_XRPUSDT_INV,PAXGUSDT_XRPUSDT,151,58,93,38.41,-18.00,9,-145.47,0.354,-0.717,-144.9409,-144.9409,معکوس
aggregated,Best_1h_SOLUSDT_XRPUSDT,SOLUSDT_XRPUSDT,156,107,49,68.59,-8.00,4,-3.95,1.856,0.529,145.1438,145.1438,اصلی
aggregated,Best_1h_SOLUSDT_XRPUSDT_INV,SOLUSDT_XRPUSDT,156,49,107,31.41,-18.00,9,-167.00,0.485,-0.745,-166.4700,-166.4700,معکوس
aggregated,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT,BTCUSDT_ETHUSDT_PAXGUSDT,308,176,132,57.14,-14.00,7,-10.50,1.520,0.259,105.1388,105.1388,اصلی
aggregated,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT,308,132,176,42.86,-20.00,10,-249.60,0.388,-0.560,-249.6040,-249.6040,معکوس
aggregated,Best_1h_BTCUSDT_ETHUSDT_SOLUSDT,BTCUSDT_ETHUSDT_SOLUSDT,313,190,123,60.70,-14.00,7,-7.52,1.674,0.358,172.5637,172.5637,اصلی
aggregated,Best_1h_BTCUSDT_ETHUSDT_SOLUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT,313,123,190,39.30,-20.00,10,-272.60,0.443,-0.579,-271.1331,-271.1331,معکوس
aggregated,Best_1h_BTCUSDT_ETHUSDT_XRPUSDT,BTCUSDT_ETHUSDT_XRPUSDT,337,209,128,62.02,-14.00,7,-7.52,1.746,0.384,194.3377,194.3377,اصلی
aggregated,Best_1h_BTCUSDT_ETHUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_XRPUSDT,337,128,209,37.98,-20.00,10,-313.50,0.410,-0.645,-312.9635,-312.9635,معکوس
aggregated,Best_1h_BTCUSDT_PAXGUSDT_SOLUSDT,BTCUSDT_PAXGUSDT_SOLUSDT,285,166,119,58.25,-14.00,7,-9.89,1.590,0.291,112.0182,112.0182,اصلی
aggregated,Best_1h_BTCUSDT_PAXGUSDT_SOLUSDT_INV,BTCUSDT_PAXGUSDT_SOLUSDT,285,119,166,41.75,-16.00,8,-241.55,0.386,-0.594,-240.0746,-240.0746,معکوس
aggregated,Best_1h_BTCUSDT_PAXGUSDT_XRPUSDT,BTCUSDT_PAXGUSDT_XRPUSDT,309,185,124,59.87,-14.00,7,-9.89,1.688,0.327,133.7922,133.7922,اصلی
aggregated,Best_1h_BTCUSDT_PAXGUSDT_XRPUSDT_INV,BTCUSDT_PAXGUSDT_XRPUSDT,309,124,185,40.13,-18.00,9,-282.44,0.355,-0.670,-281.9050,-281.9050,معکوس
aggregated,Best_1h_BTCUSDT_SOLUSDT_XRPUSDT,BTCUSDT_SOLUSDT_XRPUSDT,314,199,115,63.38,-14.00,7,-6.67,1.808,0.418,201.2171,201.2171,اصلی
aggregated,Best_1h_BTCUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_SOLUSDT_XRPUSDT,314,115,199,36.62,-18.00,9,-303.97,0.411,-0.685,-303.4341,-303.4341,معکوس
aggregated,Best_1h_ETHUSDT_PAXGUSDT_SOLUSDT,ETHUSDT_PAXGUSDT_SOLUSDT,216,128,88,59.26,-8.00,4,-10.50,1.627,0.319,110.7505,110.7505,اصلی
aggregated,Best_1h_ETHUSDT_PAXGUSDT_SOLUSDT_INV,ETHUSDT_PAXGUSDT_SOLUSDT,216,88,128,40.74,-20.00,10,-179.25,0.460,-0.529,-174.9597,-174.9597,معکوس
aggregated,Best_1h_ETHUSDT_PAXGUSDT_XRPUSDT,ETHUSDT_PAXGUSDT_XRPUSDT,240,147,93,61.25,-8.00,4,-10.50,1.719,0.356,132.5245,132.5245,اصلی
aggregated,Best_1h_ETHUSDT_PAXGUSDT_XRPUSDT_INV,ETHUSDT_PAXGUSDT_XRPUSDT,240,93,147,38.75,-20.00,10,-220.15,0.415,-0.622,-216.7901,-216.7901,معکوس
aggregated,Best_1h_ETHUSDT_SOLUSDT_XRPUSDT,ETHUSDT_SOLUSDT_XRPUSDT,245,161,84,65.71,-8.00,4,-7.52,1.768,0.465,199.9494,199.9494,اصلی
aggregated,Best_1h_ETHUSDT_SOLUSDT_XRPUSDT_INV,ETHUSDT_SOLUSDT_XRPUSDT,245,84,161,34.29,-20.00,10,-241.67,0.498,-0.644,-238.3192,-238.3192,معکوس
aggregated,Best_1h_PAXGUSDT_SOLUSDT_XRPUSDT,PAXGUSDT_SOLUSDT_XRPUSDT,217,137,80,63.13,-8.00,4,-9.59,1.804,0.403,139.4039,139.4039,اصلی
aggregated,Best_1h_PAXGUSDT_SOLUSDT_XRPUSDT_INV,PAXGUSDT_SOLUSDT_XRPUSDT,217,80,137,36.87,-18.00,9,-207.79,0.417,-0.676,-207.2607,-207.2607,معکوس
aggregated,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,374,220,154,58.82,-14.00,7,-10.50,1.612,0.307,166.8237,166.8237,اصلی
aggregated,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT,374,154,220,41.18,-20.00,10,-313.40,0.416,-0.568,-311.9238,-311.9238,معکوس
aggregated,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,398,239,159,60.05,-14.00,7,-10.50,1.675,0.333,188.5977,188.5977,اصلی
aggregated,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_XRPUSDT,398,159,239,39.95,-20.00,10,-354.29,0.391,-0.624,-353.7542,-353.7542,معکوس
aggregated,Best_1h_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,403,253,150,62.78,-14.00,7,-7.52,1.754,0.403,256.0226,256.0226,اصلی
aggregated,Best_1h_BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_SOLUSDT_XRPUSDT,403,150,253,37.22,-20.00,10,-375.82,0.436,-0.637,-375.2833,-375.2833,معکوس
aggregated,Best_1h_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,375,229,146,61.07,-14.00,7,-9.89,1.733,0.360,195.4771,195.4771,اصلی
aggregated,Best_1h_BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,375,146,229,38.93,-18.00,9,-344.76,0.390,-0.656,-344.2248,-344.2248,معکوس
aggregated,Best_1h_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,306,191,115,62.42,-8.00,4,-10.50,1.739,0.388,194.2094,194.2094,اصلی
aggregated,Best_1h_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,306,115,191,37.58,-20.00,10,-282.46,0.447,-0.617,-279.1099,-279.1099,معکوس
aggregated,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,464,283,181,60.99,-14.00,7,-10.50,1.707,0.358,250.2827,250.2827,اصلی
aggregated,Best_1h_BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT_INV,BTCUSDT_ETHUSDT_PAXGUSDT_SOLUSDT_XRPUSDT,464,181,283,39.01,-20.00,10,-416.61,0.414,-0.620,-416.0740,-416.0740,معکوس
aggregated,Best_30m_BTCUSDT,BTCUSDT,364,242,122,66.48,-8.00,4,-3.33,1.518,0.401,152.6603,152.6603,اصلی
aggregated,Best_30m_BTCUSDT_INV,BTCUSDT,364,122,242,33.52,-20.00,10,-408.72,0.311,-0.903,-408.1245,-408.1245,معکوس
aggregated,Best_30m_ETHUSDT,ETHUSDT,292,201,91,68.84,-8.00,4,-3.49,1.647,0.480,158.7603,158.7603,اصلی
aggregated,Best_30m_ETHUSDT_INV,ETHUSDT,292,91,201,31.16,-26.00,13,-342.40,0.331,-0.944,-341.7979,-341.7979,معکوس
aggregated,Best_30m_PAXGUSDT,PAXGUSDT,166,85,81,51.20,-14.00,7,-18.93,0.717,-0.126,-11.4802,-11.4802,اصلی
aggregated,Best_30m_PAXGUSDT_INV,PAXGUSDT,166,81,85,48.80,-10.00,5,-124.32,0.286,-0.577,-123.7243,-123.7243,معکوس
aggregated,Best_30m_SOLUSDT,SOLUSDT,160,109,51,68.12,-8.00,4,-2.67,2.084,0.539,124.0257,124.0257,اصلی
aggregated,Best_30m_SOLUSDT_INV,SOLUSDT,160,51,109,31.87,-28.00,14,-182.69,0.352,-0.894,-182.0911,-182.0911,معکوس
